,Name,X_center,Y_center,Radius
0,MCELS-L1,13668.075,7012.1650,12.500000
1,MCELS-L2,13650.344,6982.6431,12.500000
2,MCELS-L3,13254.132,6593.4719,78.161000
3,MCELS-L4,13022.032,6898.2865,25.068000
4,MCELS-L5,12950.512,6584.2131,40.349000
5,MCELS-L6,13145.203,8261.6308,30.198000
6,MCELS-L7,12952.392,6716.2776,32.477500
7,MCELS-L8,12937.912,6785.1006,12.500000
8,MCELS-L9,12942.151,6804.4654,8.3455000
9,MCELS-L10,12936.091,6974.0660,41.730000
10,MCELS-L11,12918.266,6742.5287,12.500000
11,MCELS-L12,12941.177,6849.6251,34.124000
12,MCELS-L13,12911.574,6804.9421,20.764000
13,MCELS-L14,12873.532,6827.2730,13.071500
14,MCELS-L15,12815.834,6625.7662,100.22800
15,MCELS-L16,12850.775,6866.3448,56.988500
16,MCELS-L17,12826.765,6813.7771,12.500000
17,MCELS-L18,12823.137,6854.5269,8.9280000
18,MCELS-L19,13106.447,9586.6175,132.31400
19,MCELS-L20,12721.204,6426.2475,126.51700
20,MCELS-L21,12737.910,8299.9702,47.777500
21,MCELS-L22,12994.294,10972.731,24.719500
22,MCELS-L23,12517.765,6551.2723,10.716000
23,MCELS-L24,12557.476,6503.0803,60.471000
24,MCELS-L25,12500.610,6542.9263,11.763500
25,MCELS-L26,12220.481,4068.3333,118.77450
26,MCELS-L27,12934.459,10964.603,22.529000
27,MCELS-L28,12923.378,11001.401,13.534000
28,MCELS-L29,12461.320,6640.0985,46.513000
29,MCELS-L30,12205.355,4363.2783,20.457000
30,MCELS-L31,12616.239,8308.9762,75.137000
31,MCELS-L32,12884.187,10980.355,8.1890000
32,MCELS-L33,12418.990,6606.0073,19.707000
33,MCELS-L34,12782.183,10315.404,72.274500
34,MCELS-L35,12848.558,10971.354,18.254000
35,MCELS-L36,12439.223,6906.0046,87.337000
36,MCELS-L37,12462.834,7406.2606,70.604000
37,MCELS-L38,12322.993,6568.2035,84.770500
38,MCELS-L39,12533.603,9001.7451,173.14050
39,MCELS-L40,12334.532,6840.6742,38.053500
40,MCELS-L41,12734.694,10989.858,70.165500
41,MCELS-L42,12054.620,4408.3044,122.77200
42,MCELS-L43,12603.139,10160.274,21.997500
43,MCELS-L44,12651.461,10750.680,47.050000
44,MCELS-L45,12617.531,10432.775,118.77400
45,MCELS-L46,12325.637,7601.6223,93.514000
46,MCELS-L47,12213.616,6967.5311,17.447500
47,MCELS-L48,12067.548,5466.4528,129.85750
48,MCELS-L49,12189.556,6924.8047,41.783000
49,MCELS-L50,12590.805,11295.451,12.500000
50,MCELS-L51,12586.190,11020.101,107.60200
51,MCELS-L52,12252.707,8398.8569,103.39350
52,MCELS-L54,12139.334,6958.0741,12.500000
53,MCELS-L55,12128.224,7010.4351,44.974000
54,MCELS-L56,12551.274,11338.239,14.280500
55,MCELS-L57,12357.446,10409.633,45.178500
56,MCELS-L58,12321.814,10626.516,154.94700
57,MCELS-L59,12051.429,6926.8215,81.845500
